,id,age,cause,vus,country,kpp,yService,voenk,kategory,katZ,date,date_wo_time
31,2134,26.0,отказ от военкомата,водитель,Казахстан,Бугристое,,Архангельская область,,1.0,2022-09-25T19:24:15,2022-09-25
32,2136,30.0,отказ от военкомата,служил,Грузия,Верхний Ларс,,,,,2022-09-25T19:35:19,2022-09-25
33,2137,27.0,отказ от военкомата,водитель,Азербайджан,Внуково,,,В,,2022-09-25T19:36:17,2022-09-25
34,2171,35.0,отказ во въезде,,Эстония,Ивангород,,,В,2.0,2022-09-25T21:31:40,2022-09-25
35,2214,32.0,отказ во въезде,,Грузия,Граница с Арменией,,,,,2022-09-25T22:17:38,2022-09-25
36,2243,31.0,отказ от военкомата,служил,Казахстан,Петухово,,,,,2022-09-26T08:02:01,2022-09-26
37,2243,30.0,отказ от военкомата,,Турция,Шереметьево,,,,,2022-09-26T08:02:01,2022-09-26
38,2244,24.0,отказ от военкомата,военная кафедра,Казахстан,Кулунда,,,,,2022-09-26T08:03:01,2022-09-26
39,2244,41.0,долг,не служил,Казахстан,Ольховка,,,В,,2022-09-26T08:03:01,2022-09-26
40,2244,30.0,отказ от военкомата,,Турция,Внуково,,,,,2022-09-26T08:03:01,2022-09-26
41,2244,25.0,отказ от военкомата,служил,,,,,А,,2022-09-26T08:03:01,2022-09-26
42,2245,27.0,,наводчик реактивной артиллерии,Казахстан,Бугристое,,,А,,2022-09-26T08:05:01,2022-09-26
43,2246,25.0,отказ от военкомата,служил,Беларусь,Шереметьево,,,,,2022-09-26T08:07:44,2022-09-26
44,2298,28.0,отказ во въезде,,Эстония,Ивангород,,,,,2022-09-26T13:55:10,2022-09-26
45,2304,26.0,,механик-водитель,Турция,Минск,,,,,2022-09-23T14:30:11,2022-09-23
46,2305,52.0,антиковидные ограничения,,Польша,Брест,,,,,2022-09-24T14:35:08,2022-09-24
47,2310,30.0,отказ от военкомата,служил,Казахстан,Теплое,,Архангельск,А2,,2022-09-26T15:08:53,2022-09-26
48,2318,,отказ от военкомата,"ПВО, военная кафедра",Узбекистан,Внуково,,,А,,2022-09-26T16:24:33,2022-09-26
49,2319,29.0,отказ от военкомата,саниструктор,Казахстан,Сагарчин,,Челябинск,,,2022-09-26T16:26:40,2022-09-26
50,2322,,отказ от военкомата,механик-водитель средних танков,Армения,Домодедово,2009-2010,,А1,1.0,2022-09-26T16:37:41,2022-09-26
51,2328,24.0,отказ от военкомата,военная кафедра,Армения,Минеральные Воды,,,,,2022-09-26T17:27:27,2022-09-26
52,2329,30.0,отказ от военкомата,служил,Узбекистан,Внуково,,,,1.0,2022-09-26T17:32:12,2022-09-26
53,2332,30.0,отказ от военкомата,связист сержант,Казахстан,Озинки,,,,1.0,2022-09-26T11:47:10,2022-09-26
54,2336,,отсутствие ковидного сертификата,,Азербайджан,,,,,,2022-09-26T18:09:58,2022-09-26
55,2337,28.0,просроченный украинский загранпаспорт,,Казахстан,Караозек,,,,,2022-09-25T18:14:29,2022-09-25
56,2340,24.0,отсутствие загранпаспорта,,,,,,,,2022-09-26T18:30:21,2022-09-26
57,2341,28.0,отказ от военкомата,,Казахстан,Михайловское,2014-2015,Кемерово,Б3,1.0,2022-09-26T18:40:32,2022-09-26
58,2341,23.0,отказ от военкомата,,Казахстан,Михайловское,2019-2020,Кемерово,Б3,1.0,2022-09-26T18:40:32,2022-09-26
