id,msg_id,case_mes_id,case_type,age,sex,cause,army_relations,vus,army_type,army_sec_type,army_other,country,kpp,yService,voenk_region,voenk_city,voenk_district,kategory_h,kategory_z,date
169,2949,NULL,NULL,30,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,оркестр,,Внуково,,,NULL,NULL,1,,2022-09-28
170,2949,NULL,NULL,30,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"не служил",,Внуково,,,NULL,NULL,,,2022-09-28
171,2952,NULL,NULL,32,NULL,,NULL,NULL,NULL,NULL,"стрелок, сержант",Армения,Шереметьево,,,NULL,NULL,,,2022-09-28
172,2959,NULL,NULL,41,NULL,долг,NULL,NULL,NULL,NULL,"не служил",Турция,Пулково,,,NULL,NULL,,,2022-09-28
173,2966,NULL,NULL,27,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"886040, вожатый собак",,Домодедово,,,NULL,NULL,,,2022-09-27
174,2970,NULL,NULL,22,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"не служил, приписное",Грузия,"Верхний Ларс",,,NULL,NULL,,,2022-09-28
175,2982,NULL,NULL,26,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,,Казахстан,Орск,,,NULL,NULL,,,2022-09-28
176,2984,NULL,NULL,30,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,пулемётчик,Казахстан,Петухово,,,NULL,NULL,А1,,2022-09-28
177,3000,NULL,NULL,NULL,NULL,"отказ в выезде иностранным государством",NULL,NULL,NULL,NULL,,Германия,Стамбул,,,NULL,NULL,,,2022-09-28
178,3017,NULL,NULL,28,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,904137А,Киргизия,Жуковский,,,NULL,NULL,А,,2022-09-27
179,3021,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,стрелок,ОАЭ,Уфа,,,NULL,NULL,1,,2022-09-28
180,3033,NULL,NULL,23,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"военная кафедра",Таджикистан,Домодедово,,Москва,NULL,NULL,Б,,2022-09-28
181,3040,NULL,NULL,28,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"старший стрелок",Таджикистан,Новосибирск,,,NULL,NULL,А2,,2022-09-28
182,3043,NULL,NULL,30,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"военная кафедра",Казахстан,Новосибирск,,,NULL,NULL,,1,2022-09-28
183,3057,NULL,NULL,26,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"артиллерия, военная кафедра",Турция,Домодедово,,,NULL,NULL,,,2022-09-27
184,3063,NULL,NULL,NULL,NULL,"отказ в выезде иностранным государством",NULL,NULL,NULL,NULL,,Германия,Стамбул,,,NULL,NULL,,,2022-09-28
185,3071,NULL,NULL,25,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,,Казахстан,Маштаково,,,NULL,NULL,А1,,2022-09-27
186,3078,NULL,NULL,NULL,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,,Казахстан,Маштаково,,"Ярославская область",NULL,NULL,,,2022-09-28
187,3078,NULL,NULL,NULL,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,,Казахстан,Маштаково,,"Ярославская область",NULL,NULL,,,2022-09-28
188,3078,NULL,NULL,NULL,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,,Казахстан,Маштаково,,"Ярославская область",NULL,NULL,,,2022-09-28
189,3078,NULL,NULL,NULL,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,,Казахстан,Маштаково,,"Ярославская область",NULL,NULL,,,2022-09-28
190,3078,NULL,NULL,NULL,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,,Казахстан,Маштаково,,"Ярославская область",NULL,NULL,,,2022-09-28
191,3078,NULL,NULL,NULL,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,,Казахстан,Маштаково,,"Астраханская область",NULL,NULL,,,2022-09-28
192,3079,NULL,NULL,31,NULL,"отказ от военкомата",NULL,NULL,NULL,ПВО,"военная кафедра, офицер",Киргизия,Красноярск,,"Ленинградская область",NULL,NULL,,,2022-09-28
193,3081,NULL,NULL,39,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,,Молдова,Ереван,,,NULL,NULL,,,2022-09-28
194,3098,NULL,NULL,22,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Армения,Внуково,,,NULL,NULL,А,,2022-09-29
195,3102,NULL,NULL,29,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Армения,Сочи,,"Республика Карелия",NULL,NULL,,1,2022-09-28
196,3116,NULL,NULL,34,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,,,,,,NULL,NULL,В,,2022-09-29
197,3116,NULL,NULL,34,NULL,долг,NULL,NULL,NULL,NULL,,,,,,NULL,NULL,В,,2022-09-26
198,3116,NULL,NULL,34,NULL,долг,NULL,NULL,NULL,NULL,,,,,,NULL,NULL,В,,2022-09-27
199,3118,NULL,NULL,21,NULL,,NULL,NULL,NULL,NULL,,Грузия,"Верхний Ларс",,,NULL,NULL,В,,2022-09-29
200,3118,NULL,NULL,21,NULL,,NULL,NULL,NULL,NULL,,Грузия,"Верхний Ларс",,,NULL,NULL,В,,2022-09-29
201,3124,NULL,NULL,50,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Финляндия,Брусничное,,,NULL,NULL,,,2022-09-29
202,3124,NULL,NULL,33,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Финляндия,Брусничное,,,NULL,NULL,,,2022-09-29
203,3125,NULL,NULL,33,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,связист,Казахстан,Сагарчин,,,NULL,NULL,А1,,2022-09-29
204,3129,NULL,NULL,30,NULL,,NULL,NULL,NULL,NULL,"121300, связист, военная кафедра",Турция,Внуково,,,NULL,NULL,,1,2022-09-29
205,3130,NULL,NULL,29,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,,Казахстан,Орск,,,NULL,NULL,,,2022-09-29
206,3134,NULL,NULL,36,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"не служил",Грузия,"Верхний Ларс",,,NULL,NULL,Б,,2022-09-25
207,3144,NULL,NULL,NULL,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,,Финляндия,,,,NULL,NULL,Б,,2022-09-29
208,3145,NULL,NULL,33,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"артиллерия, военная кафедра, офицер",Армения,Шереметьево,,,NULL,NULL,,,2022-09-29
209,3159,NULL,NULL,27,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"не служил",Грузия,"Верхний Ларс",,,NULL,NULL,В,,2022-09-29
210,3159,NULL,NULL,NULL,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,,Внуково,,,NULL,NULL,,,2022-09-29
211,3159,NULL,NULL,NULL,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,,Внуково,,,NULL,NULL,,,2022-09-29
212,3159,NULL,NULL,NULL,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,,Внуково,,,NULL,NULL,,,2022-09-29
213,3159,NULL,NULL,NULL,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,,Внуково,,,NULL,NULL,,,2022-09-29
214,3159,NULL,NULL,NULL,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,,Внуково,,,NULL,NULL,,,2022-09-29
215,3160,NULL,NULL,24,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"097000, военная кафедра",Казахстан,,,"Всеволожск, Ленинградская область",NULL,NULL,,,2022-09-28
216,3164,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,,,Внуково,,,NULL,NULL,,,2022-09-29
217,3165,NULL,NULL,29,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Казахстан,Караозек,,,NULL,NULL,А,,2022-09-29
218,3165,NULL,NULL,27,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Казахстан,Караозек,,,NULL,NULL,А,,2022-09-28
219,3165,NULL,NULL,NULL,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,,Казахстан,Караозек,,,NULL,NULL,В,,2022-09-28
220,3165,NULL,NULL,NULL,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,,Казахстан,Караозек,,,NULL,NULL,В,,2022-09-28
221,3168,NULL,NULL,30,NULL,долг,NULL,NULL,NULL,NULL,"старший оператор СОУ, рядовой",Киргизия,Сочи,,,NULL,NULL,,,2022-09-21
222,3170,NULL,NULL,23,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"военная кафедра",Грузия,,,"Ульяновск, Ульяновская область",NULL,NULL,А1,,2022-09-27
223,3171,NULL,NULL,NULL,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,,Швеция,,,,NULL,NULL,,,2022-09-28
224,3173,NULL,NULL,24,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Казахстан,Казанское,,,NULL,NULL,А1,,2022-09-29
225,3175,NULL,NULL,NULL,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,,Турция,Казань,,"Кыштым, Челябинская область",NULL,NULL,В,,2022-09-29
226,3185,NULL,NULL,23,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"549543А, оператор коротковолновой связи",Киргизия,Домодедово,2019-2020,,NULL,NULL,,1,2022-09-29
227,3192,NULL,NULL,NULL,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"старший телефонист",Армения,Шереметьево,,,NULL,NULL,Б,,2022-09-29
228,3194,NULL,NULL,37,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"170202, военная кафедра",Турция,Шереметьево,,Санкт-Петербург,NULL,NULL,,,2022-09-29
229,3196,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,,Таджикистан,Жуковский,,,NULL,NULL,,,2022-09-28
230,3201,NULL,NULL,29,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"рота почётного караула",Казахстан,Орск,,"Архангельская область",NULL,NULL,А1,,2022-09-28
231,3207,NULL,NULL,30,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,связист,Таджикистан,"Минеральные Воды",,"Смоленск, Смоленская область",NULL,NULL,,1,2022-09-29
232,3207,NULL,NULL,33,NULL,"отказ от военкомата",NULL,NULL,NULL,ВДВ,,Таджикистан,"Минеральные Воды",,"Смоленск, Смоленская область",NULL,NULL,,1,2022-09-29
233,3226,NULL,NULL,33,NULL,долг,NULL,NULL,NULL,NULL,"не служил",Казахстан,,,,NULL,NULL,В,2,2022-09-29
234,3226,NULL,NULL,25,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,служил,Казахстан,,2017-2018,,NULL,NULL,А1,2,2022-09-29
235,3246,NULL,NULL,24,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,,Казахстан,,,,NULL,NULL,,,2022-09-29
236,3265,NULL,NULL,32,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"191, химик",Азербайджан,Самара,,"Пензенская область",NULL,NULL,,,2022-09-29
237,3267,NULL,NULL,NULL,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"заместитель командира взвода, стрелок",Армения,Сочи,,,NULL,NULL,,,2022-09-29
238,3276,NULL,NULL,NULL,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,,Турция,Внуково,,"Волгоградская область",NULL,NULL,,,2022-09-28
239,3278,NULL,NULL,38,NULL,,NULL,NULL,NULL,NULL,"артиллерия, военная кафедра, офицер",Монголия,Кяхта,,,NULL,NULL,,,2022-09-28
240,3280,NULL,NULL,25,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Турция,Пулково,,"Республика Карелия",NULL,NULL,Б3,,2022-09-29
241,3294,NULL,NULL,24,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"170182, командир отделения мостостроительных средств, военная кафедра",Узбекистан,Домодедово,,,NULL,NULL,,2,2022-09-29
242,3297,NULL,NULL,27,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,пулемётчик,Грузия,"Верхний Ларс",,,NULL,NULL,А1,,2022-09-29
243,3303,NULL,NULL,33,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"снайпер, сержант",Казахстан,Комсомольское,,,NULL,NULL,А,,2022-09-29
244,3303,NULL,NULL,51,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"помощник военного коменданта аэродрома, не служил",Финляндия,Торфяновка,,Санкт-Петербург,NULL,NULL,,,2022-09-29
245,3313,NULL,NULL,34,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"эксплуатация и ремонт автомобильной техники, военная кафедра, офицер",Казахстан,Озинки,,,NULL,NULL,А,1,2022-09-28
246,3317,NULL,NULL,25,NULL,,NULL,NULL,NULL,NULL,служил,,Домодедово,,,NULL,NULL,,,2022-09-29
247,3318,NULL,NULL,NULL,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,,Казахстан,Петухово,,,NULL,NULL,,,2022-09-29
248,3321,NULL,NULL,23,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,,Казахстан,Бугристое,,,NULL,NULL,,,2022-09-29
249,3324,NULL,NULL,28,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Казахстан,Мариинский,2013-2014,,NULL,NULL,А,,2022-09-29
250,3324,NULL,NULL,24,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Казахстан,Мариинский,2021-2022,,NULL,NULL,В,,2022-09-29
251,3329,NULL,NULL,33,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"военная кафедра",Таджикистан,Пулково,,"Ленинградская область",NULL,NULL,,,2022-09-28
252,3333,NULL,NULL,26,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"907, младший сержант",Казахстан,Озинки,2015-2016,,NULL,NULL,А1,,2022-09-29
253,3337,NULL,NULL,28,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,фельдшер\врач,Киргизия,Самара,,,NULL,NULL,,,2022-09-29
254,3340,NULL,NULL,26,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"стрелок, рядовой",Таджикистан,Пулково,2014-2015,Санкт-Петербург,NULL,NULL,А1,,2022-09-29
255,3343,NULL,NULL,32,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,разведчик,Турция,Домодедово,,,NULL,NULL,А,,2022-09-29
256,3350,NULL,NULL,30,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"радиотелеграфист, ВМФ",Узбекистан,Внуково,,,NULL,NULL,А1,,2022-09-29
257,3355,NULL,NULL,26,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"инженер, офицер",,Шереметьево,,,NULL,NULL,,,2022-09-29
258,3369,NULL,NULL,30,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"командир отделения стрелков",Азербайджан,Домодедово,2012-2013,,NULL,NULL,,,2022-09-29
259,3370,NULL,NULL,29,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,стрелок,Казахстан,Исилькуль,,,NULL,NULL,,,2022-09-29
260,3372,NULL,NULL,27,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,связист,Финляндия,Брусничное,,,NULL,NULL,,,2022-09-29
261,3372,NULL,NULL,30,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"военная кафедра",Киргизия,Домодедово,,,NULL,NULL,,,2022-09-29
262,3376,NULL,NULL,NULL,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"военная кафедра",Турция,Шереметьево,,,NULL,NULL,А,,2022-09-30
263,3377,NULL,NULL,50,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,"не служил",Финляндия,Светогорск,,Санкт-Петербург,NULL,NULL,А1,,2022-09-30
264,3379,NULL,NULL,39,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,мотострелок,Финляндия,Светогорск,,,NULL,NULL,,,2022-09-29
265,3387,NULL,NULL,26,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"901, помощник начальника отделения делопроизводства",Турция,Омск,,,NULL,NULL,Б3,,2022-09-30
266,3403,NULL,NULL,23,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Казахстан,Исилькуль,,"Ярославская область",NULL,NULL,,,2022-09-30
267,3406,NULL,NULL,33,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,водитель,Турция,Внуково,,,NULL,NULL,Б,,2022-09-30
268,3451,NULL,NULL,33,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Турция,Домодедово,,,NULL,NULL,,,2022-09-30
269,3459,NULL,NULL,33,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Армения,Сочи,,,NULL,NULL,А,,2022-09-30
270,3471,NULL,NULL,NULL,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,вдв,Турция,Пулково,,,NULL,NULL,А,,2022-09-30
271,3476,NULL,NULL,25,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"постройка наплавного железнодорожного моста",Грузия,"Верхний Ларс",,,NULL,NULL,,,2022-09-28
272,3482,NULL,NULL,27,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Казахстан,Бугристое,,,NULL,NULL,,1,2022-09-30
273,3483,NULL,NULL,23,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"служил, сержант",Турция,Внуково,,,NULL,NULL,А,,2022-09-30
274,3483,NULL,NULL,30,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"служил, сержант",Казахстан,Маштаково,,,NULL,NULL,,1,2022-09-29
275,3483,NULL,NULL,32,NULL,"ограничение от ФССП",NULL,NULL,NULL,NULL,"служил, сержант",Казахстан,Маштаково,,,NULL,NULL,,1,2022-09-29
276,3486,NULL,NULL,25,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"ПВО, военная кафедра, офицер",Китай,Шереметьево,,,NULL,NULL,,,2022-09-29
277,3490,NULL,NULL,NULL,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,,Турция,Шереметьево,,,NULL,NULL,,,2022-09-29
278,3493,NULL,NULL,27,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,стрелок,Казахстан,Бугристое,,,NULL,NULL,,,2022-09-30
279,3494,NULL,NULL,27,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,водитель,Азербайджан,Домодедово,2015-2016,,NULL,NULL,Б,,2022-09-29
280,3494,NULL,NULL,24,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"не служил",Турция,Пулково,,Санкт-Петербург,NULL,NULL,В,,2022-09-30
281,3496,NULL,NULL,25,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"ракетные войска",Казахстан,Мариинский,,,NULL,NULL,А1,,2022-09-30
282,3497,NULL,NULL,33,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,436543Р,Казахстан,Маштаково,,Санкт-Петербург,NULL,NULL,А1,,2022-09-30
283,3503,NULL,NULL,37,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"310101, офицер",Турция,Шереметьево,,,NULL,NULL,,1,2022-09-30
284,3508,NULL,NULL,30,NULL,,NULL,NULL,NULL,NULL,служил,Армения,Домодедово,,,NULL,NULL,А1,,2022-09-30
285,3520,NULL,NULL,31,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Киргизия,,,,NULL,NULL,А2,,2022-09-30
286,3541,NULL,NULL,26,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,связист,Узбекистан,Пулково,,,NULL,NULL,А,,2022-09-30
287,3542,NULL,NULL,35,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,авиатехник,Турция,Пулково,,,NULL,NULL,Б3,,2022-09-30
288,3551,NULL,NULL,29,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"оператор радио-перехвата",Узбекистан,Пулково,2011-2012,,NULL,NULL,,,2022-09-30
289,3566,NULL,NULL,29,NULL,,NULL,NULL,NULL,NULL,служил,Армения,Сочи,,,NULL,NULL,,,2022-10-01
290,3570,NULL,NULL,29,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"182, командир отделения стрелков",Армения,Сургут,,Москва,NULL,NULL,,1,2022-10-01
291,3571,NULL,NULL,25,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"офицер запаса",Казахстан,Петухово,,"Всеволожск, Ленинградская область",NULL,NULL,В,,2022-10-01
292,3583,NULL,NULL,28,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"водитель C/D, спецназ ГРУ, сержант",Казахстан,Аксарайский,,Москва,NULL,NULL,,,2022-10-01
293,3586,NULL,NULL,29,NULL,,NULL,NULL,NULL,NULL,"не служил",Беларусь,,,Санкт-Петербург,NULL,NULL,В,,2022-09-30
294,3590,NULL,NULL,30,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Казахстан,Маштаково,,,NULL,NULL,,,2022-09-30
295,3596,NULL,NULL,27,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"167, мобилизационное предписание",,Внуково,,,NULL,NULL,,,2022-09-30
296,3600,NULL,NULL,32,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,служил,Чехия,Дубай,,,NULL,NULL,А1,,2022-10-01
297,3600,NULL,NULL,NULL,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,,Чехия,Дубай,,,NULL,NULL,,,2022-10-01
298,3600,NULL,NULL,NULL,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,,Чехия,Дубай,,,NULL,NULL,,,2022-10-01
299,3600,NULL,NULL,NULL,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,,Чехия,Дубай,,,NULL,NULL,,,2022-10-01
300,3600,NULL,NULL,NULL,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,,Чехия,Дубай,,,NULL,NULL,,,2022-10-01
301,3600,NULL,NULL,NULL,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,,Чехия,Дубай,,,NULL,NULL,,,2022-10-01
302,3603,NULL,NULL,31,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Казахстан,Шереметьево,,,NULL,NULL,,,2022-10-01
303,3607,NULL,NULL,22,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Казахстан,Петухово,,,NULL,NULL,А1,,2022-10-01
304,3609,NULL,NULL,30,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Казахстан,Петухово,,,NULL,NULL,,,2022-10-01
305,3609,NULL,NULL,30,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Армения,Тюмень,,,NULL,NULL,,,2022-10-01
306,3615,NULL,NULL,27,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Казахстан,Илек,,,NULL,NULL,В,,2022-09-29
307,3620,NULL,NULL,31,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,666995А,Армения,Пулково,2012-2013,,NULL,NULL,Б,,2022-10-01
308,3621,NULL,NULL,27,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,стрелок,Узбекистан,Домодедово,,,NULL,NULL,А1,,2022-09-30
309,3630,NULL,NULL,32,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"стрелок, сержант",Армения,Сочи,,,NULL,NULL,,,2022-10-01
310,3641,NULL,NULL,48,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"офицер запаса",Узбекистан,Шереметьево,,,NULL,NULL,,,2022-10-01
311,3644,NULL,NULL,27,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Армения,Внуково,,,NULL,NULL,А1,,2022-10-01
312,3646,NULL,NULL,32,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,837,ОАЭ,Домодедово,2014-2015,Белгород,NULL,NULL,,1,2022-10-01
313,3646,NULL,NULL,NULL,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,,Домодедово,,,NULL,NULL,,,2022-10-01
314,3646,NULL,NULL,NULL,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,,Домодедово,,,NULL,NULL,,,2022-10-01
315,3646,NULL,NULL,NULL,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,,Домодедово,,,NULL,NULL,,,2022-10-01
316,3646,NULL,NULL,NULL,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"не служил",,Домодедово,,,NULL,NULL,,,2022-10-01
317,3652,NULL,NULL,32,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"не служил",Египет,Внуково,,"Костромская область",NULL,NULL,В,,2022-10-01
318,3655,NULL,NULL,31,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"стрелок, ВВ, мобилизационное предписание - спасатель",Казахстан,,2011-2012,"Петрозаводск, Карелия",NULL,NULL,,,2022-10-01
319,3657,NULL,NULL,27,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Казахстан,Петухово,,,NULL,NULL,Б4,,2022-10-01
320,3665,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,"военная кафедра",Армения,Махачкала,,,NULL,NULL,,,2022-10-01
321,3667,NULL,NULL,29,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,связист,Узбекистан,Внуково,,,NULL,NULL,Б4,,2022-10-01
322,3668,NULL,NULL,30,NULL,,NULL,NULL,NULL,NULL,вдв,Армения,Домодедово,,,NULL,NULL,,,2022-10-01
323,3676,NULL,NULL,24,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,600,Казахстан,Внуково,,,NULL,NULL,А3,,2022-10-02
324,3677,NULL,NULL,34,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"461, спецсвязь",Турция,Сочи,2006-2008,,NULL,NULL,,,2022-10-01
325,3679,NULL,NULL,41,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"не служил, слесарь-ремонтник",Турция,Шереметьево,,"Костромская область",NULL,NULL,В,2,2022-10-01
326,3680,NULL,NULL,29,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,стрелок,Казахстан,,,"Ярославская область",NULL,NULL,,,2022-09-30
327,3682,NULL,NULL,39,NULL,,NULL,NULL,NULL,NULL,"военная кафедра, офицер, вус финансово-экономическая",,Шереметьево,,,NULL,NULL,,1,2022-10-02
328,3682,NULL,NULL,29,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"не служил",Киргизия,Шереметьево,,,NULL,NULL,В,,2022-10-02
329,3684,NULL,NULL,32,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"не служил",Казахстан,Екатеринбург,,"Костромская область",NULL,NULL,,,2022-10-02
330,3685,NULL,NULL,NULL,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"механик специальной радиосвязи",Киргизия,Кольцово,,"Кемеровская область",NULL,NULL,А1,,2022-10-02
331,3685,NULL,NULL,23,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,пильщик,Киргизия,Кольцово,,,NULL,NULL,А4,1,2022-10-02
332,3689,NULL,NULL,48,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"служил, офицер в запаса",Узбекистан,Шереметьево,,,NULL,NULL,,,2022-10-02
333,3693,NULL,NULL,24,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,,Казахстан,Орск,,"Чита, Забайкальский край",NULL,NULL,В,,2022-10-02
334,3698,NULL,NULL,NULL,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"артиллерия, военная кафедра",,Домодедово,,,NULL,NULL,,,2022-10-02
335,3699,NULL,NULL,33,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"стрелок, электрик-водитель",Киргизия,Шереметьево,,,NULL,NULL,А1,,2022-10-02
