id,msg_id,case_mes_id,case_type,age,sex,cause,army_relations,vus,army_type,army_sec_type,army_other,country,kpp,yService,voenk_region,voenk_city,voenk_district,kategory_h,kategory_z,date
40,2244,NULL,NULL,30,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,,Турция,Внуково,,,NULL,NULL,,,2022-09-26
41,2244,NULL,NULL,25,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,,,,,NULL,NULL,А,,2022-09-26
42,2245,NULL,NULL,27,NULL,,NULL,NULL,NULL,NULL,"наводчик реактивной артиллерии",Казахстан,Бугристое,,,NULL,NULL,А,,2022-09-26
43,2246,NULL,NULL,25,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Беларусь,Шереметьево,,,NULL,NULL,,,2022-09-26
44,2298,NULL,NULL,28,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,,Эстония,Ивангород,,,NULL,NULL,,,2022-09-26
45,2304,NULL,NULL,26,NULL,,NULL,NULL,NULL,NULL,механик-водитель,Турция,Минск,,,NULL,NULL,,,2022-09-23
46,2305,NULL,NULL,52,NULL,"антиковидные ограничения",NULL,NULL,NULL,NULL,,Польша,Брест,,,NULL,NULL,,,2022-09-24
47,2310,NULL,NULL,30,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Казахстан,Теплое,,Архангельск,NULL,NULL,А2,,2022-09-26
48,2318,NULL,NULL,NULL,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"ПВО, военная кафедра",Узбекистан,Внуково,,,NULL,NULL,А,,2022-09-26
49,2319,NULL,NULL,29,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,саниструктор,Казахстан,Сагарчин,,Челябинск,NULL,NULL,,,2022-09-26
50,2322,NULL,NULL,NULL,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"механик-водитель средних танков",Армения,Домодедово,2009-2010,,NULL,NULL,А1,1,2022-09-26
51,2328,NULL,NULL,24,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"военная кафедра",Армения,"Минеральные Воды",,,NULL,NULL,,,2022-09-26
52,2329,NULL,NULL,30,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Узбекистан,Внуково,,,NULL,NULL,,1,2022-09-26
53,2332,NULL,NULL,30,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"связист сержант",Казахстан,Озинки,,,NULL,NULL,,1,2022-09-26
54,2336,NULL,NULL,NULL,NULL,"отсутствие ковидного сертификата",NULL,NULL,NULL,NULL,,Азербайджан,,,,NULL,NULL,,,2022-09-26
55,2337,NULL,NULL,28,NULL,"просроченный украинский загранпаспорт",NULL,NULL,NULL,NULL,,Казахстан,Караозек,,,NULL,NULL,,,2022-09-25
56,2340,NULL,NULL,24,NULL,"отсутствие загранпаспорта",NULL,NULL,NULL,NULL,,,,,,NULL,NULL,,,2022-09-26
57,2341,NULL,NULL,28,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,,Казахстан,Михайловское,2014-2015,Кемерово,NULL,NULL,Б3,1,2022-09-26
58,2341,NULL,NULL,23,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,,Казахстан,Михайловское,2019-2020,Кемерово,NULL,NULL,Б3,1,2022-09-26
59,2353,5687,fail,25,М,"отказ от военкомата",,водитель,,,,Казахстан,Исилькуль,,"Республика Хакасия",,,Б,,2022-09-26
60,2372,NULL,NULL,55,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,служил,Польша,,,,NULL,NULL,,1,2022-09-25
61,2374,NULL,NULL,26,NULL,,NULL,NULL,NULL,NULL,служил,Армения,"Минеральные Воды",,,NULL,NULL,В,,2022-09-26
62,2386,NULL,NULL,29,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,РЭБ,Казахстан,Петухово,,"Петрозаводск, Карелия",NULL,NULL,,,2022-09-26
63,2405,NULL,NULL,NULL,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"не служил",Казахстан,Караозек,,"Краснодарский край",NULL,NULL,,,2022-09-26
64,2426,NULL,NULL,27,NULL,долг,NULL,NULL,NULL,NULL,"не служил",Грузия,"Верхний Ларс",,,NULL,NULL,,,2022-09-26
65,2433,NULL,NULL,30,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"механик-водитель, инженерные войска",Казахстан,Павловка,,"Кемеровская область",NULL,NULL,А,,2022-09-27
66,2434,NULL,NULL,28,NULL,,NULL,NULL,NULL,NULL,"420, военная кафедра",Армения,Внуково,,,NULL,NULL,,,2022-09-27
67,2436,NULL,NULL,NULL,NULL,долг,NULL,NULL,NULL,NULL,"не служил",Казахстан,Мариинский,,,NULL,NULL,В,,2022-09-27
68,2436,NULL,NULL,24,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Казахстан,Исилькуль,,,NULL,NULL,,,2022-09-25
69,2436,NULL,NULL,27,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,СпН,Казахстан,Орск,,,NULL,NULL,А,,2022-09-27
70,2437,NULL,NULL,24,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Грузия,"Верхний Ларс",,,NULL,NULL,,1,2022-09-26
71,2439,NULL,NULL,28,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"100, стрелок, росгвардия",Казахстан,Мариинское,,Москва,NULL,NULL,,1,2022-09-27
72,2440,NULL,NULL,NULL,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,,Эстония,,,,NULL,NULL,,,2022-09-27
73,2440,NULL,NULL,NULL,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,артиллерия,Киргизия,Шереметьево,2014-2015,,NULL,NULL,,1,2022-09-26
74,2441,NULL,NULL,NULL,NULL,"на велосипеде",NULL,NULL,NULL,NULL,,Казахстан,Озинки,,,NULL,NULL,,,2022-09-27
75,2441,NULL,NULL,32,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"инженер, офицер",Казахстан,Михайловка,,,NULL,NULL,,,2022-09-27
76,2449,NULL,NULL,26,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Армения,Сочи,,,NULL,NULL,А1,,2022-09-27
77,2469,NULL,NULL,38,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"офицер запаса",Турция,Внуково,,Смоленск,NULL,NULL,,,2022-09-27
78,2481,NULL,NULL,34,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"командир отделения стрелков, сержант",Грузия,"Верхний Ларс",,,NULL,NULL,А,,2022-09-27
79,2494,NULL,NULL,31,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Армения,Курумочи,,,NULL,NULL,,,2022-09-27
80,2496,NULL,NULL,30,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,,Беларусь,Новосокольники,,,NULL,NULL,,,2022-09-27
81,2500,NULL,NULL,36,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"артиллерия, военная кафедра",Финляндия,Торфяновка,,,NULL,NULL,В,,2022-09-27
82,2502,NULL,NULL,35,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"военная кафедра",Казахстан,Бугристое,,,NULL,NULL,А,,2022-09-27
83,2505,NULL,NULL,31,NULL,,NULL,NULL,NULL,NULL,служил,Казахстан,Мариинский,,,NULL,NULL,,1,2022-09-27
84,2506,NULL,NULL,25,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"140, военная кафедра",Киргизия,Домодедово,,,NULL,NULL,,,2022-09-27
85,2530,NULL,NULL,29,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,артиллерия,Казахстан,Озинки,,,NULL,NULL,,,2022-09-27
86,2520,NULL,NULL,36,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"военная кафедра, офицер",Таджикистан,Жуковский,,,NULL,NULL,В,,2022-09-27
87,2534,NULL,NULL,NULL,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,,Польша,Мамоново,,,NULL,NULL,,,2022-09-27
88,2534,NULL,NULL,NULL,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,,Польша,Мамоново,,,NULL,NULL,,,2022-09-27
89,2534,NULL,NULL,NULL,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,,Польша,Мамоново,,,NULL,NULL,,,2022-09-27
90,2534,NULL,NULL,NULL,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,,Польша,Мамоново,,,NULL,NULL,,,2022-09-27
91,2534,NULL,NULL,NULL,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,,Польша,Мамоново,,,NULL,NULL,,,2022-09-27
92,2534,NULL,NULL,NULL,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,,Польша,Мамоново,,,NULL,NULL,,,2022-09-27
93,2534,NULL,NULL,NULL,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,,Польша,Мамоново,,,NULL,NULL,,,2022-09-27
94,2534,NULL,NULL,NULL,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,,Польша,Мамоново,,,NULL,NULL,,,2022-09-27
95,2534,NULL,NULL,NULL,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,,Польша,Мамоново,,,NULL,NULL,,,2022-09-27
96,2534,NULL,NULL,NULL,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,,Польша,Мамоново,,,NULL,NULL,,,2022-09-27
97,2540,NULL,NULL,20,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Армения,"Минеральные Воды",,,NULL,NULL,А1,,2022-09-27
98,2542,NULL,NULL,28,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,водитель,Грузия,"Верхний Ларс",,,NULL,NULL,А,,2022-09-27
99,2543,NULL,NULL,25,NULL,,NULL,NULL,NULL,NULL,"механик спутниковой связи",Казахстан,Маштаково,,"Ярославская область",NULL,NULL,А4,,2022-09-26
100,2546,NULL,NULL,39,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"без ВУС, военная кафедра, офицер",Турция,Пулково,,,NULL,NULL,,,2022-09-27
101,2559,NULL,NULL,23,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,837,Казахстан,Пулково,,,NULL,NULL,Б3,,2022-09-27
102,2561,NULL,NULL,28,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,ОАЭ,Внуково,2016-2017,,NULL,NULL,,1,2022-09-27
103,2563,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,служил,Казахстан,,,,NULL,NULL,А,,2022-09-26
104,2563,NULL,NULL,32,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"водитель автомобилей",Азербайджан,Внуково,,,NULL,NULL,Б3,1,2022-09-26
105,2574,NULL,NULL,NULL,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Казахстан,Мариинский,,,NULL,NULL,А1,,2022-09-27
106,2583,NULL,NULL,28,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"командир отделения мостостроительных средств, военная кафедра",Казахстан,Сагарчин,,,NULL,NULL,А,2,2022-09-27
107,2608,NULL,NULL,NULL,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,,Эстония,Ивангород,,,NULL,NULL,,,2022-09-27
108,2608,NULL,NULL,NULL,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,,Эстония,Ивангород,,,NULL,NULL,,,2022-09-27
109,2608,NULL,NULL,NULL,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,,Эстония,Ивангород,,,NULL,NULL,,,2022-09-27
110,2608,NULL,NULL,NULL,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,,Эстония,Ивангород,,,NULL,NULL,,,2022-09-27
111,2608,NULL,NULL,NULL,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,,Эстония,Ивангород,,,NULL,NULL,,,2022-09-27
112,2613,NULL,NULL,19,NULL,"без объяснения причин",NULL,NULL,NULL,NULL,"не служил",Казахстан,Кольцово,,,NULL,NULL,,,2022-09-27
113,2616,NULL,NULL,35,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"военная кафедра",Казахстан,Бугристое,,,NULL,NULL,А,,2022-09-27
114,2618,NULL,NULL,31,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,659,Иран,Внуково,,"Владимирская область",NULL,NULL,,1,2022-09-27
115,2621,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,служил,Турция,Домодедово,,,NULL,NULL,,,2022-09-27
116,2623,NULL,NULL,NULL,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"472, военная кафедра",Армения,Внуково,,"Ленинградская область",NULL,NULL,А,,2022-09-27
117,2630,NULL,NULL,26,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Казахстан,Исилькуль,,"Ульяновская область",NULL,NULL,,1,2022-09-27
118,2641,NULL,NULL,25,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"военная кафедра",Казахстан,Веселоярск,,,NULL,NULL,,,2022-09-27
119,2665,NULL,NULL,38,NULL,долг,NULL,NULL,NULL,NULL,"не служил",Иран,Шереметьево,,,NULL,NULL,В,,2022-09-27
120,2675,NULL,NULL,31,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"военная кафедра",Таджикистан,Пулково,,"Ленинградская область",NULL,NULL,,,2022-09-27
121,2677,NULL,NULL,39,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"без ВУС, военная кафедра, офицер",Турция,Пулково,,,NULL,NULL,,1,2022-09-27
